Ward,Alderman,2000,2010,Change,NumberChange
1,Daniel La Spata,52951,56149,6%,0.06039546
2,Brian Hopkins,54361,55805,3%,0.026563161
3,Pat Dowell,40385,53039,31%,0.313334159
4,Sophia King,51953,54589,5%,0.050738167
5,Leslie Hairston,55302,51455,-7%,-0.069563488
6,Roderick Sawyer,54989,52341,-5%,-0.048155086
7,Greg Mitchell,54593,51581,-6%,-0.055171908
8,Michelle A. Harris,54039,51687,-4%,-0.043524121
9,Anthony Beale,52008,51519,-1%,-0.0094024
10,Susan Garza,56613,51535,-9%,-0.089696713
11,Patrick Thompson,64228,51497,-20%,-0.198215731
12,George A. Cardenas,68922,52235,-24%,-0.242114274
13,Marty Quinn,64382,53722,-17%,-0.165574229
14,Edward M. Burke,80143,54031,-33%,-0.325817601
15,Raymond Lopez,56057,51501,-8%,-0.081274417
16,Stephanie Coleman,50205,51954,3%,0.034837168
17,David Moore,49264,51846,5%,0.052411497
18,Derrick Curtis,55043,52992,-4%,-0.037261777
19,Matthew O'Shea,54546,51525,-6%,-0.055384446
20,Jeanette B. Taylor,51854,52372,1%,0.009989586
21,"Howard Brookins, Jr.",51751,51632,0%,-0.002299472
22,Mike Rodriguez,59734,53515,-10%,-0.104111561
23,Silvana Tabares,63691,53728,-16%,-0.156427125
24,Michael Scott,50879,54909,8%,0.079207532
25,Byron Sigcho-Lopez,55954,54539,-3%,-0.02528863
26,Roberto Maldonado,56841,53516,-6%,-0.058496508
27,"Walter Burnett, Jr.",61287,52939,-14%,-0.136211595
28,Jason Ervin,49423,55199,12%,0.116868664
29,Chris Taliaferro,61949,55267,-11%,-0.107862919
30,Ariel E. Reboyras,72698,55560,-24%,-0.235742386
31,Felix Cardona,65045,53724,-17%,-0.174048735
32,Scott Waguespack,57204,55184,-4%,-0.035312216
33,Rossana Rodriguez Sanchez,63695,55598,-13%,-0.127121438
34,Carrie M. Austin,49922,51599,3%,0.033592404
35,Carlos Ramirez-Rosa,57588,55281,-4%,-0.040060429
36,Gilbert Villegas,63376,54766,-14%,-0.135855844
37,Emma Mitts,56120,51538,-8%,-0.081646472
38,Nicholas Sposato,66011,56001,-15%,-0.151641393
39,Sam Nugent,64291,55882,-13%,-0.130795912
40,Andre Vasquez,58652,55319,-6%,-0.056826707
41,Anthony V. Napolitano,56127,55991,0%,-0.002423076
42,Brendan Reilly,68102,55870,-18%,-0.179612934
43,Michele Smith,57668,56170,-3%,-0.025976278
44,Thomas M. Tunney,58758,56058,-5%,-0.04595119
45,Jim Gardiner,60653,55967,-8%,-0.077259163
46,James Cappleman,56587,53784,-5%,-0.049534345
47,Matt Martin,52108,55074,6%,0.056920243
48,Harry Osterman,56246,55014,-2%,-0.02190378
49,Maria Hadden,59435,54633,-8%,-0.080794145
50,Debra Silverstein,62383,55809,-11%,-0.105381274